7 179404
Pa Pb Da Db BDa BDb ES
114 0 1 1 0 0 186
112 0 1 0 0 1 186
113 0 1 0 0 1 185
115 0 1 1 0 0 185
116 0 1 1 0 0 184
114 0 1 0 0 1 184
115 0 1 0 0 1 183
117 0 1 1 0 0 183
118 0 1 1 0 0 182
116 0 1 0 0 1 182
117 0 1 0 0 1 181
119 0 1 1 0 0 181
120 0 1 1 0 0 180
118 0 1 0 0 1 180
119 0 1 0 0 1 179
121 0 1 1 0 0 179
122 0 1 1 0 0 178
120 0 1 0 0 1 178
121 0 1 0 0 1 177
123 0 1 1 0 0 177
124 0 1 1 0 0 176
122 0 1 0 0 1 176
123 0 1 0 0 1 175
125 0 1 1 0 0 175
126 0 1 1 0 0 174
124 0 1 0 0 1 174
125 0 1 0 0 1 173
127 0 1 1 0 0 173
128 0 1 1 0 0 172
126 0 1 0 0 1 172
127 0 1 0 0 1 171
129 0 1 1 0 0 171
130 0 1 1 0 0 170
128 0 1 0 0 1 170
129 0 1 0 0 1 169
131 0 1 1 0 0 169
132 0 1 1 0 0 168
130 0 1 0 0 1 168
131 0 1 0 0 1 167
133 0 1 1 0 0 167
134 0 1 1 0 0 166
132 0 1 0 0 1 166
133 0 1 0 0 1 165
135 0 1 1 0 0 165
136 0 1 1 0 0 164
134 0 1 0 0 1 164
135 0 1 0 0 1 163
137 0 1 1 0 0 163
138 0 1 1 0 0 162
136 0 1 0 0 1 162
137 0 1 0 0 1 161
139 0 1 1 0 0 161
140 0 1 1 0 0 160
138 0 1 0 0 1 160
139 0 1 0 0 1 159
141 0 1 1 0 0 159
142 0 1 1 0 0 158
140 0 1 0 0 1 158
141 0 1 0 0 1 157
143 0 1 1 0 0 157
144 0 1 1 0 0 156
142 0 1 0 0 1 156
143 0 1 0 0 1 155
145 0 1 1 0 0 155
146 0 1 1 0 0 154
144 0 1 0 0 1 154
145 0 1 0 0 1 153
147 0 1 1 0 0 153
148 0 1 1 0 0 152
146 0 1 0 0 1 152
147 0 1 0 0 1 151
149 0 1 1 0 0 151
150 0 1 1 0 0 150
148 0 1 0 0 1 150
149 0 1 0 0 1 149
151 0 1 1 0 0 149
152 0 1 1 0 0 148
150 0 1 0 0 1 148
151 0 1 0 0 1 147
153 0 1 1 0 0 147
154 0 1 1 0 0 146
152 0 1 0 0 1 146
153 0 1 0 0 1 145
155 0 1 1 0 0 145
156 0 1 1 0 0 144
154 0 1 0 0 1 144
155 0 1 0 0 1 143
157 0 1 1 0 0 143
158 0 1 1 0 0 142
156 0 1 0 0 1 142
157 0 1 0 0 1 141
159 0 1 1 0 0 141
160 0 1 1 0 0 140
158 0 1 0 0 1 140
159 0 1 0 0 1 139
161 0 1 1 0 0 139
162 0 1 1 0 0 138
160 0 1 0 0 1 138
161 0 1 0 0 1 137
163 0 1 1 0 0 137
164 0 1 1 0 0 136
162 0 1 0 0 1 136
163 0 1 0 0 1 135
165 0 1 1 0 0 135
166 0 1 1 0 0 134
164 0 1 0 0 1 134
165 0 1 0 0 1 133
167 0 1 1 0 0 133
168 0 1 1 0 0 132
166 0 1 0 0 1 132
167 0 1 0 0 1 131
169 0 1 1 0 0 131
170 0 1 1 0 0 130
168 0 1 0 0 1 130
169 0 1 0 0 1 129
171 0 1 1 0 0 129
172 0 1 1 0 0 128
170 0 1 0 0 1 128
171 0 1 0 0 1 127
173 0 1 1 0 0 127
174 0 1 1 0 0 126
172 0 1 0 0 1 126
173 0 1 0 0 1 125
175 0 1 1 0 0 125
176 0 1 1 0 0 124
174 0 1 0 0 1 124
175 0 1 0 0 1 123
177 0 1 1 0 0 123
178 0 1 1 0 0 122
176 0 1 0 0 1 122
177 0 1 0 0 1 121
179 0 1 1 0 0 121
180 0 1 1 0 0 120
178 0 1 0 0 1 120
179 0 1 0 0 1 119
181 0 1 1 0 0 119
182 0 1 1 0 0 118
180 0 1 0 0 1 118
181 0 1 0 0 1 117
183 0 1 1 0 0 117
184 0 1 1 0 0 116
182 0 1 0 0 1 116
183 0 1 0 0 1 115
185 0 1 1 0 0 115
186 0 1 1 0 0 114
184 0 1 0 0 1 114
185 0 1 0 0 1 113
187 0 1 1 0 0 113
188 0 1 1 0 0 112
186 0 1 0 0 1 112
187 0 1 0 0 1 111
189 0 1 1 0 0 111
190 0 1 1 0 0 110
188 0 1 0 0 1 110
189 0 1 0 0 1 109
191 0 1 1 0 0 109
192 0 1 1 0 0 108
190 0 1 0 0 1 108
191 0 1 0 0 1 107
193 0 1 1 0 0 107
194 0 1 1 0 0 106
192 0 1 0 0 1 106
193 0 1 0 0 1 105
195 0 1 1 0 0 105
196 0 1 1 0 0 104
194 0 1 0 0 1 104
195 0 1 0 0 1 103
197 0 1 1 0 0 103
198 0 1 1 0 0 102
196 0 1 0 0 1 102
197 0 1 0 0 1 101
199 0 1 1 0 0 101
200 0 1 1 0 0 100
198 0 1 0 0 1 100
199 0 1 0 0 1 99
201 0 1 1 0 0 99
202 0 1 1 0 0 98
200 0 1 0 0 1 98
201 0 1 0 0 1 97
203 0 1 1 0 0 97
204 0 1 1 0 0 96
202 0 1 0 0 1 96
203 0 1 0 0 1 95
205 0 1 1 0 0 95
206 0 1 1 0 0 94
204 0 1 0 0 1 94
205 0 1 0 0 1 93
207 0 1 1 0 0 93
208 0 1 1 0 0 92
206 0 1 0 0 1 92
207 0 1 0 0 1 91
209 0 1 1 0 0 91
210 0 1 1 0 0 90
208 0 1 0 0 1 90
209 0 1 0 0 1 89
211 0 1 1 0 0 89
212 0 1 1 0 0 88
210 0 1 0 0 1 88
211 0 1 0 0 1 87
213 0 1 1 0 0 87
214 0 1 1 0 0 86
212 0 1 0 0 1 86
213 0 1 0 0 1 85
215 0 1 1 0 0 85
216 0 1 1 0 0 84
214 0 1 0 0 1 84
215 0 1 0 0 1 83
217 0 1 1 0 0 83
218 0 1 1 0 0 82
216 0 1 0 0 1 82
217 0 1 0 0 1 81
219 0 1 1 0 0 81
220 0 1 1 0 0 80
218 0 1 0 0 1 80
219 0 1 0 0 1 79
221 0 1 1 0 0 79
222 0 1 1 0 0 78
220 0 1 0 0 1 78
221 0 1 0 0 1 77
223 0 1 1 0 0 77
224 0 1 1 0 0 76
222 0 1 0 0 1 76
223 0 1 0 0 1 75
225 0 1 1 0 0 75
226 0 1 1 0 0 74
224 0 1 0 0 1 74
225 0 1 0 0 1 73
227 0 1 1 0 0 73
228 0 1 1 0 0 72
226 0 1 0 0 1 72
227 0 1 0 0 1 71
229 0 1 1 0 0 71
230 0 1 1 0 0 70
228 0 1 0 0 1 70
229 0 1 0 0 1 69
231 0 1 1 0 0 69
232 0 1 1 0 0 68
230 0 1 0 0 1 68
231 0 1 0 0 1 67
233 0 1 1 0 0 67
234 0 1 1 0 0 66
232 0 1 0 0 1 66
233 0 1 0 0 1 65
235 0 1 1 0 0 65
236 0 1 1 0 0 64
234 0 1 0 0 1 64
235 0 1 0 0 1 63
237 0 1 1 0 0 63
238 0 1 1 0 0 62
236 0 1 0 0 1 62
237 0 1 0 0 1 61
239 0 1 1 0 0 61
240 0 1 1 0 0 60
238 0 1 0 0 1 60
239 0 1 0 0 1 59
241 0 1 1 0 0 59
242 0 1 1 0 0 58
240 0 1 0 0 1 58
241 0 1 0 0 1 57
243 0 1 1 0 0 57
244 0 1 1 0 0 56
242 0 1 0 0 1 56
243 0 1 0 0 1 55
245 0 1 1 0 0 55
246 0 1 1 0 0 54
244 0 1 0 0 1 54
245 0 1 0 0 1 53
247 0 1 1 0 0 53
248 0 1 1 0 0 52
246 0 1 0 0 1 52
247 0 1 0 0 1 51
249 0 1 1 0 0 51
250 0 1 1 0 0 50
248 0 1 0 0 1 50
249 0 1 0 0 1 49
251 0 1 1 0 0 49
252 0 1 1 0 0 48
250 0 1 0 0 1 48
251 0 1 0 0 1 47
253 0 1 1 0 0 47
254 0 1 1 0 0 46
252 0 1 0 0 1 46
253 0 1 0 0 1 45
255 0 1 1 0 0 45
256 0 1 1 0 0 44
254 0 1 0 0 1 44
255 0 1 0 0 1 43
257 0 1 1 0 0 43
258 0 1 1 0 0 42
256 0 1 0 0 1 42
257 0 1 0 0 1 41
259 0 1 1 0 0 41
260 0 1 1 0 0 40
258 0 1 0 0 1 40
259 0 1 0 0 1 39
261 0 1 1 0 0 39
262 0 1 1 0 0 38
260 0 1 0 0 1 38
261 0 1 0 0 1 37
263 0 1 1 0 0 37
264 0 1 1 0 0 36
262 0 1 0 0 1 36
263 0 1 0 0 1 35
265 0 1 1 0 0 35
266 0 1 1 0 0 34
264 0 1 0 0 1 34
265 0 1 0 0 1 33
267 0 1 1 0 0 33
268 0 1 1 0 0 32
266 0 1 0 0 1 32
267 0 1 0 0 1 31
269 0 1 1 0 0 31
270 0 1 1 0 0 30
268 0 1 0 0 1 30
269 0 1 0 0 1 29
271 0 1 1 0 0 29
272 0 1 1 0 0 28
270 0 1 0 0 1 28
271 0 1 0 0 1 27
273 0 1 1 0 0 27
274 0 1 1 0 0 26
272 0 1 0 0 1 26
273 0 1 0 0 1 25
275 0 1 1 0 0 25
276 0 1 1 0 0 24
274 0 1 0 0 1 24
275 0 1 0 0 1 23
277 0 1 1 0 0 23
278 0 1 1 0 0 22
276 0 1 0 0 1 22
277 0 1 0 0 1 21
279 0 1 1 0 0 21
280 0 1 1 0 0 20
278 0 1 0 0 1 20
279 0 1 0 0 1 19
281 0 1 1 0 0 19
282 0 1 1 0 0 18
280 0 1 0 0 1 18
281 0 1 0 0 1 17
283 0 1 1 0 0 17
284 0 1 1 0 0 16
282 0 1 0 0 1 16
283 0 1 0 0 1 15
285 0 1 1 0 0 15
286 0 1 1 0 0 14
284 0 1 0 0 1 14
285 0 1 0 0 1 13
287 0 1 1 0 0 13
288 0 1 1 0 0 12
286 0 1 0 0 1 12
287 0 1 0 0 1 11
289 0 1 1 0 0 11
290 0 1 1 0 0 10
288 0 1 0 0 1 10
289 0 1 0 0 1 9
291 0 1 1 0 0 9
292 0 1 1 0 0 8
290 0 1 0 0 1 8
291 0 1 0 0 1 7
293 0 1 1 0 0 7
294 0 1 1 0 0 6
292 0 1 0 0 1 6
293 0 1 0 0 1 5
295 0 1 1 0 0 5
296 0 1 1 0 0 4
294 0 1 0 0 1 4
295 0 1 0 0 1 3
297 0 1 1 0 0 3
298 0 1 1 0 0 2
296 0 1 0 0 1 2
297 0 1 0 0 1 1
299 0 1 1 0 0 1
300 0 1 1 0 0 0
298 0 1 0 0 1 0
299 1 1 1 0 0 0
297 1 1 0 0 1 0
296 1 1 0 0 1 1
298 1 1 1 0 0 1
297 1 1 1 0 0 2
295 1 1 0 0 1 2
294 1 1 0 0 1 3
296 1 1 1 0 0 3
295 1 1 1 0 0 4
293 1 1 0 0 1 4
292 1 1 0 0 1 5
294 1 1 1 0 0 5
293 1 1 1 0 0 6
291 1 1 0 0 1 6
290 1 1 0 0 1 7
292 1 1 1 0 0 7
291 1 1 1 0 0 8
289 1 1 0 0 1 8
288 1 1 0 0 1 9
290 1 1 1 0 0 9
289 1 1 1 0 0 10
287 1 1 0 0 1 10
286 1 1 0 0 1 11
288 1 1 1 0 0 11
287 1 1 1 0 0 12
285 1 1 0 0 1 12
284 1 1 0 0 1 13
286 1 1 1 0 0 13
285 1 1 1 0 0 14
283 1 1 0 0 1 14
282 1 1 0 0 1 15
284 1 1 1 0 0 15
283 1 1 1 0 0 16
281 1 1 0 0 1 16
280 1 1 0 0 1 17
282 1 1 1 0 0 17
281 1 1 1 0 0 18
279 1 1 0 0 1 18
278 1 1 0 0 1 19
280 1 1 1 0 0 19
279 1 1 1 0 0 20
277 1 1 0 0 1 20
276 1 1 0 0 1 21
278 1 1 1 0 0 21
277 1 1 1 0 0 22
275 1 1 0 0 1 22
274 1 1 0 0 1 23
276 1 1 1 0 0 23
275 1 1 1 0 0 24
273 1 1 0 0 1 24
272 1 1 0 0 1 25
274 1 1 1 0 0 25
273 1 1 1 0 0 26
271 1 1 0 0 1 26
270 1 1 0 0 1 27
272 1 1 1 0 0 27
271 1 1 1 0 0 28
269 1 1 0 0 1 28
268 1 1 0 0 1 29
270 1 1 1 0 0 29
269 1 1 1 0 0 30
267 1 1 0 0 1 30
266 1 1 0 0 1 31
268 1 1 1 0 0 31
267 1 1 1 0 0 32
265 1 1 0 0 1 32
264 1 1 0 0 1 33
266 1 1 1 0 0 33
265 1 1 1 0 0 34
263 1 1 0 0 1 34
262 1 1 0 0 1 35
264 1 1 1 0 0 35
263 1 1 1 0 0 36
261 1 1 0 0 1 36
260 1 1 0 0 1 37
262 1 1 1 0 0 37
261 1 1 1 0 0 38
259 1 1 0 0 1 38
258 1 1 0 0 1 39
260 1 1 1 0 0 39
259 1 1 1 0 0 40
257 1 1 0 0 1 40
256 1 1 0 0 1 41
258 1 1 1 0 0 41
257 1 1 1 0 0 42
255 1 1 0 0 1 42
254 1 1 0 0 1 43
256 1 1 1 0 0 43
255 1 1 1 0 0 44
253 1 1 0 0 1 44
252 1 1 0 0 1 45
254 1 1 1 0 0 45
253 1 1 1 0 0 46
251 1 1 0 0 1 46
250 1 1 0 0 1 47
252 1 1 1 0 0 47
251 1 1 1 0 0 48
249 1 1 0 0 1 48
248 1 1 0 0 1 49
250 1 1 1 0 0 49
249 1 1 1 0 0 50
247 1 1 0 0 1 50
246 1 1 0 0 1 51
248 1 1 1 0 0 51
247 1 1 1 0 0 52
245 1 1 0 0 1 52
244 1 1 0 0 1 53
246 1 1 1 0 0 53
245 1 1 1 0 0 54
243 1 1 0 0 1 54
242 1 1 0 0 1 55
244 1 1 1 0 0 55
243 1 1 1 0 0 56
241 1 1 0 0 1 56
240 1 1 0 0 1 57
242 1 1 1 0 0 57
241 1 1 1 0 0 58
239 1 1 0 0 1 58
238 1 1 0 0 1 59
240 1 1 1 0 0 59
239 1 1 1 0 0 60
237 1 1 0 0 1 60
236 1 1 0 0 1 61
238 1 1 1 0 0 61
237 1 1 1 0 0 62
235 1 1 0 0 1 62
234 1 1 0 0 1 63
236 1 1 1 0 0 63
235 1 1 1 0 0 64
233 1 1 0 0 1 64
232 1 1 0 0 1 65
234 1 1 1 0 0 65
233 1 1 1 0 0 66
231 1 1 0 0 1 66
230 1 1 0 0 1 67
232 1 1 1 0 0 67
231 1 1 1 0 0 68
229 1 1 0 0 1 68
228 1 1 0 0 1 69
230 1 1 1 0 0 69
229 1 1 1 0 0 70
227 1 1 0 0 1 70
226 1 1 0 0 1 71
228 1 1 1 0 0 71
227 1 1 1 0 0 72
225 1 1 0 0 1 72
224 1 1 0 0 1 73
226 1 1 1 0 0 73
225 1 1 1 0 0 74
223 1 1 0 0 1 74
222 1 1 0 0 1 75
224 1 1 1 0 0 75
223 1 1 1 0 0 76
221 1 1 0 0 1 76
220 1 1 0 0 1 77
222 1 1 1 0 0 77
221 1 1 1 0 0 78
219 1 1 0 0 1 78
218 1 1 0 0 1 79
220 1 1 1 0 0 79
219 1 1 1 0 0 80
217 1 1 0 0 1 80
216 1 1 0 0 1 81
218 1 1 1 0 0 81
217 1 1 1 0 0 82
215 1 1 0 0 1 82
214 1 1 0 0 1 83
216 1 1 1 0 0 83
215 1 1 1 0 0 84
213 1 1 0 0 1 84
212 1 1 0 0 1 85
214 1 1 1 0 0 85
213 1 1 1 0 0 86
211 1 1 0 0 1 86
210 1 1 0 0 1 87
212 1 1 1 0 0 87
211 1 1 1 0 0 88
209 1 1 0 0 1 88
208 1 1 0 0 1 89
210 1 1 1 0 0 89
209 1 1 1 0 0 90
207 1 1 0 0 1 90
206 1 1 0 0 1 91
208 1 1 1 0 0 91
207 1 1 1 0 0 92
205 1 1 0 0 1 92
204 1 1 0 0 1 93
206 1 1 1 0 0 93
205 1 1 1 0 0 94
203 1 1 0 0 1 94
202 1 1 0 0 1 95
204 1 1 1 0 0 95
203 1 1 1 0 0 96
201 1 1 0 0 1 96
200 1 1 0 0 1 97
202 1 1 1 0 0 97
201 1 1 1 0 0 98
199 1 1 0 0 1 98
198 1 1 0 0 1 99
200 1 1 1 0 0 99
199 1 1 1 0 0 100
197 1 1 0 0 1 100
196 1 1 0 0 1 101
198 1 1 1 0 0 101
197 1 1 1 0 0 102
195 1 1 0 0 1 102
194 1 1 0 0 1 103
196 1 1 1 0 0 103
195 1 1 1 0 0 104
193 1 1 0 0 1 104
192 1 1 0 0 1 105
194 1 1 1 0 0 105
193 1 1 1 0 0 106
191 1 1 0 0 1 106
190 1 1 0 0 1 107
192 1 1 1 0 0 107
191 1 1 1 0 0 108
