7 179404
Pa Pb Da Db BDa BDb ES
68 74 1 0 0 1 156
69 74 1 0 0 1 155
71 74 1 1 0 0 155
72 74 1 1 0 0 154
70 74 1 0 0 1 154
71 74 1 0 0 1 153
73 74 1 1 0 0 153
74 74 1 1 0 0 152
72 74 1 0 0 1 152
73 74 1 0 0 1 151
75 74 1 1 0 0 151
76 74 1 1 0 0 150
74 74 1 0 0 1 150
74 73 1 0 0 1 151
76 73 1 1 0 0 151
76 72 1 1 0 0 152
74 72 1 0 0 1 152
74 71 1 0 0 1 153
76 71 1 1 0 0 153
76 70 1 1 0 0 154
74 70 1 0 0 1 154
74 69 1 0 0 1 155
76 69 1 1 0 0 155
76 68 1 1 0 0 156
74 68 1 0 0 1 156
74 67 1 0 0 1 157
76 67 1 1 0 0 157
76 66 1 1 0 0 158
74 66 1 0 0 1 158
74 65 1 0 0 1 159
76 65 1 1 0 0 159
76 64 1 1 0 0 160
74 64 1 0 0 1 160
74 63 1 0 0 1 161
76 63 1 1 0 0 161
76 62 1 1 0 0 162
74 62 1 0 0 1 162
74 61 1 0 0 1 163
76 61 1 1 0 0 163
76 60 1 1 0 0 164
74 60 1 0 0 1 164
74 59 1 0 0 1 165
76 59 1 1 0 0 165
76 58 1 1 0 0 166
74 58 1 0 0 1 166
74 57 1 0 0 1 167
76 57 1 1 0 0 167
76 56 1 1 0 0 168
74 56 1 0 0 1 168
74 55 1 0 0 1 169
76 55 1 1 0 0 169
76 54 1 1 0 0 170
74 54 1 0 0 1 170
74 53 1 0 0 1 171
76 53 1 1 0 0 171
76 52 1 1 0 0 172
74 52 1 0 0 1 172
74 51 1 0 0 1 173
76 51 1 1 0 0 173
76 50 1 1 0 0 174
74 50 1 0 0 1 174
74 49 1 0 0 1 175
76 49 1 1 0 0 175
76 48 1 1 0 0 176
74 48 1 0 0 1 176
74 47 1 0 0 1 177
76 47 1 1 0 0 177
76 46 1 1 0 0 178
74 46 1 0 0 1 178
74 45 1 0 0 1 179
76 45 1 1 0 0 179
76 44 1 1 0 0 180
74 44 1 0 0 1 180
74 43 1 0 0 1 181
76 43 1 1 0 0 181
76 42 1 1 0 0 182
74 42 1 0 0 1 182
74 41 1 0 0 1 183
76 41 1 1 0 0 183
76 40 1 1 0 0 184
74 40 1 0 0 1 184
74 39 1 0 0 1 185
76 39 1 1 0 0 185
76 38 1 1 0 0 186
74 38 1 0 0 1 186
74 37 1 0 0 1 187
76 37 1 1 0 0 187
76 36 1 1 0 0 188
74 36 1 0 0 1 188
74 35 1 0 0 1 189
76 35 1 1 0 0 189
76 34 1 1 0 0 190
74 34 1 0 0 1 190
74 33 1 0 0 1 191
76 33 1 1 0 0 191
76 32 1 1 0 0 192
74 32 1 0 0 1 192
74 31 1 0 0 1 193
76 31 1 1 0 0 193
76 30 1 1 0 0 194
74 30 1 0 0 1 194
74 29 1 0 0 1 195
76 29 1 1 0 0 195
76 28 1 1 0 0 196
74 28 1 0 0 1 196
74 27 1 0 0 1 197
76 27 1 1 0 0 197
76 26 1 1 0 0 198
74 26 1 0 0 1 198
74 25 1 0 0 1 199
76 25 1 1 0 0 199
76 24 1 1 0 0 200
74 24 1 0 0 1 200
74 23 1 0 0 1 201
76 23 1 1 0 0 201
76 22 1 1 0 0 202
74 22 1 0 0 1 202
74 21 1 0 0 1 203
76 21 1 1 0 0 203
76 20 1 1 0 0 204
74 20 1 0 0 1 204
74 19 1 0 0 1 205
76 19 1 1 0 0 205
76 18 1 1 0 0 206
74 18 1 0 0 1 206
74 17 1 0 0 1 207
76 17 1 1 0 0 207
76 16 1 1 0 0 208
74 16 1 0 0 1 208
74 15 1 0 0 1 209
76 15 1 1 0 0 209
76 14 1 1 0 0 210
74 14 1 0 0 1 210
74 13 1 0 0 1 211
76 13 1 1 0 0 211
76 12 1 1 0 0 212
74 12 1 0 0 1 212
74 11 1 0 0 1 213
76 11 1 1 0 0 213
76 10 1 1 0 0 214
74 10 1 0 0 1 214
74 9 1 0 0 1 215
76 9 1 1 0 0 215
76 8 1 1 0 0 216
74 8 1 0 0 1 216
74 7 1 0 0 1 217
76 7 1 1 0 0 217
76 6 1 1 0 0 218
74 6 1 0 0 1 218
74 5 1 0 0 1 219
76 5 1 1 0 0 219
76 4 1 1 0 0 220
74 4 1 0 0 1 220
74 3 1 0 0 1 221
76 3 1 1 0 0 221
76 2 1 1 0 0 222
74 2 1 0 0 1 222
74 0 0 0 1 1 222
76 0 0 1 1 0 222
76 1 0 1 1 0 221
74 1 0 0 1 1 221
76 2 0 1 1 0 220
74 2 0 0 1 1 220
76 3 0 1 1 0 219
74 3 0 0 1 1 219
76 4 0 1 1 0 218
74 4 0 0 1 1 218
76 5 0 1 1 0 217
74 5 0 0 1 1 217
76 6 0 1 1 0 216
74 6 0 0 1 1 216
76 7 0 1 1 0 215
74 7 0 0 1 1 215
76 8 0 1 1 0 214
74 8 0 0 1 1 214
76 9 0 1 1 0 213
74 9 0 0 1 1 213
76 10 0 1 1 0 212
74 10 0 0 1 1 212
76 11 0 1 1 0 211
74 11 0 0 1 1 211
76 12 0 1 1 0 210
74 12 0 0 1 1 210
76 13 0 1 1 0 209
74 13 0 0 1 1 209
76 14 0 1 1 0 208
74 14 0 0 1 1 208
76 15 0 1 1 0 207
74 15 0 0 1 1 207
76 16 0 1 1 0 206
74 16 0 0 1 1 206
76 17 0 1 1 0 205
74 17 0 0 1 1 205
76 18 0 1 1 0 204
74 18 0 0 1 1 204
76 19 0 1 1 0 203
74 19 0 0 1 1 203
76 20 0 1 1 0 202
74 20 0 0 1 1 202
76 21 0 1 1 0 201
74 21 0 0 1 1 201
76 22 0 1 1 0 200
74 22 0 0 1 1 200
76 23 0 1 1 0 199
74 23 0 0 1 1 199
76 24 0 1 1 0 198
74 24 0 0 1 1 198
76 25 0 1 1 0 197
74 25 0 0 1 1 197
76 26 0 1 1 0 196
74 26 0 0 1 1 196
76 27 0 1 1 0 195
74 27 0 0 1 1 195
76 28 0 1 1 0 194
74 28 0 0 1 1 194
76 29 0 1 1 0 193
74 29 0 0 1 1 193
76 30 0 1 1 0 192
74 30 0 0 1 1 192
76 31 0 1 1 0 191
74 31 0 0 1 1 191
76 32 0 1 1 0 190
74 32 0 0 1 1 190
76 33 0 1 1 0 189
74 33 0 0 1 1 189
76 34 0 1 1 0 188
74 34 0 0 1 1 188
76 35 0 1 1 0 187
74 35 0 0 1 1 187
76 36 0 1 1 0 186
74 36 0 0 1 1 186
76 37 0 1 1 0 185
74 37 0 0 1 1 185
76 38 0 1 1 0 184
74 38 0 0 1 1 184
76 39 0 1 1 0 183
74 39 0 0 1 1 183
76 40 0 1 1 0 182
74 40 0 0 1 1 182
76 41 0 1 1 0 181
74 41 0 0 1 1 181
76 42 0 1 1 0 180
74 42 0 0 1 1 180
76 43 0 1 1 0 179
74 43 0 0 1 1 179
76 44 0 1 1 0 178
74 44 0 0 1 1 178
76 45 0 1 1 0 177
74 45 0 0 1 1 177
76 46 0 1 1 0 176
74 46 0 0 1 1 176
76 47 0 1 1 0 175
74 47 0 0 1 1 175
76 48 0 1 1 0 174
74 48 0 0 1 1 174
76 49 0 1 1 0 173
74 49 0 0 1 1 173
76 50 0 1 1 0 172
74 50 0 0 1 1 172
76 51 0 1 1 0 171
74 51 0 0 1 1 171
76 52 0 1 1 0 170
74 52 0 0 1 1 170
76 53 0 1 1 0 169
74 53 0 0 1 1 169
76 54 0 1 1 0 168
74 54 0 0 1 1 168
76 55 0 1 1 0 167
74 55 0 0 1 1 167
76 56 0 1 1 0 166
74 56 0 0 1 1 166
76 57 0 1 1 0 165
74 57 0 0 1 1 165
76 58 0 1 1 0 164
74 58 0 0 1 1 164
76 59 0 1 1 0 163
74 59 0 0 1 1 163
76 60 0 1 1 0 162
74 60 0 0 1 1 162
76 61 0 1 1 0 161
74 61 0 0 1 1 161
76 62 0 1 1 0 160
74 62 0 0 1 1 160
76 63 0 1 1 0 159
74 63 0 0 1 1 159
76 64 0 1 1 0 158
74 64 0 0 1 1 158
76 65 0 1 1 0 157
74 65 0 0 1 1 157
76 66 0 1 1 0 156
74 66 0 0 1 1 156
76 67 0 1 1 0 155
74 67 0 0 1 1 155
76 68 0 1 1 0 154
74 68 0 0 1 1 154
76 69 0 1 1 0 153
74 69 0 0 1 1 153
76 70 0 1 1 0 152
74 70 0 0 1 1 152
76 71 0 1 1 0 151
74 71 0 0 1 1 151
76 72 0 1 1 0 150
74 72 0 0 1 1 150
76 73 0 1 1 0 149
74 73 0 0 1 1 149
73 73 0 0 1 1 150
75 73 0 1 1 0 150
74 73 0 1 1 0 151
72 73 0 0 1 1 151
71 73 0 0 1 1 152
73 73 0 1 1 0 152
72 73 0 1 1 0 153
70 73 0 0 1 1 153
69 73 0 0 1 1 154
71 73 0 1 1 0 154
70 73 0 1 1 0 155
68 73 0 0 1 1 155
67 73 0 0 1 1 156
69 73 0 1 1 0 156
68 73 0 1 1 0 157
66 73 0 0 1 1 157
65 73 0 0 1 1 158
67 73 0 1 1 0 158
66 73 0 1 1 0 159
64 73 0 0 1 1 159
63 73 0 0 1 1 160
65 73 0 1 1 0 160
64 73 0 1 1 0 161
62 73 0 0 1 1 161
61 73 0 0 1 1 162
63 73 0 1 1 0 162
62 73 0 1 1 0 163
60 73 0 0 1 1 163
59 73 0 0 1 1 164
61 73 0 1 1 0 164
60 73 0 1 1 0 165
58 73 0 0 1 1 165
57 73 0 0 1 1 166
59 73 0 1 1 0 166
58 73 0 1 1 0 167
56 73 0 0 1 1 167
55 73 0 0 1 1 168
57 73 0 1 1 0 168
56 73 0 1 1 0 169
54 73 0 0 1 1 169
53 73 0 0 1 1 170
55 73 0 1 1 0 170
54 73 0 1 1 0 171
52 73 0 0 1 1 171
51 73 0 0 1 1 172
53 73 0 1 1 0 172
52 73 0 1 1 0 173
50 73 0 0 1 1 173
49 73 0 0 1 1 174
51 73 0 1 1 0 174
50 73 0 1 1 0 175
48 73 0 0 1 1 175
47 73 0 0 1 1 176
49 73 0 1 1 0 176
48 73 0 1 1 0 177
46 73 0 0 1 1 177
45 73 0 0 1 1 178
47 73 0 1 1 0 178
46 73 0 1 1 0 179
44 73 0 0 1 1 179
43 73 0 0 1 1 180
45 73 0 1 1 0 180
44 73 0 1 1 0 181
42 73 0 0 1 1 181
41 73 0 0 1 1 182
43 73 0 1 1 0 182
42 73 0 1 1 0 183
40 73 0 0 1 1 183
39 73 0 0 1 1 184
41 73 0 1 1 0 184
40 73 0 1 1 0 185
38 73 0 0 1 1 185
37 73 0 0 1 1 186
39 73 0 1 1 0 186
38 73 0 1 1 0 187
36 73 0 0 1 1 187
35 73 0 0 1 1 188
37 73 0 1 1 0 188
36 73 0 1 1 0 189
34 73 0 0 1 1 189
33 73 0 0 1 1 190
35 73 0 1 1 0 190
34 73 0 1 1 0 191
32 73 0 0 1 1 191
31 73 0 0 1 1 192
33 73 0 1 1 0 192
32 73 0 1 1 0 193
30 73 0 0 1 1 193
29 73 0 0 1 1 194
31 73 0 1 1 0 194
30 73 0 1 1 0 195
28 73 0 0 1 1 195
27 73 0 0 1 1 196
29 73 0 1 1 0 196
28 73 0 1 1 0 197
26 73 0 0 1 1 197
25 73 0 0 1 1 198
27 73 0 1 1 0 198
26 73 0 1 1 0 199
24 73 0 0 1 1 199
23 73 0 0 1 1 200
25 73 0 1 1 0 200
24 73 0 1 1 0 201
22 73 0 0 1 1 201
21 73 0 0 1 1 202
23 73 0 1 1 0 202
22 73 0 1 1 0 203
20 73 0 0 1 1 203
19 73 0 0 1 1 204
21 73 0 1 1 0 204
20 73 0 1 1 0 205
18 73 0 0 1 1 205
17 73 0 0 1 1 206
19 73 0 1 1 0 206
18 73 0 1 1 0 207
16 73 0 0 1 1 207
15 73 0 0 1 1 208
17 73 0 1 1 0 208
16 73 0 1 1 0 209
14 73 0 0 1 1 209
13 73 0 0 1 1 210
15 73 0 1 1 0 210
14 73 0 1 1 0 211
12 73 0 0 1 1 211
11 73 0 0 1 1 212
13 73 0 1 1 0 212
12 73 0 1 1 0 213
10 73 0 0 1 1 213
9 73 0 0 1 1 214
11 73 0 1 1 0 214
10 73 0 1 1 0 215
8 73 0 0 1 1 215
7 73 0 0 1 1 216
9 73 0 1 1 0 216
8 73 0 1 1 0 217
6 73 0 0 1 1 217
5 73 0 0 1 1 218
7 73 0 1 1 0 218
6 73 0 1 1 0 219
4 73 0 0 1 1 219
3 73 0 0 1 1 220
5 73 0 1 1 0 220
4 73 0 1 1 0 221
2 73 0 0 1 1 221
2 75 1 0 0 1 221
4 75 1 1 0 0 221
5 75 1 1 0 0 220
3 75 1 0 0 1 220
4 75 1 0 0 1 219
6 75 1 1 0 0 219
7 75 1 1 0 0 218
5 75 1 0 0 1 218
6 75 1 0 0 1 217
8 75 1 1 0 0 217
9 75 1 1 0 0 216
7 75 1 0 0 1 216
8 75 1 0 0 1 215
10 75 1 1 0 0 215
11 75 1 1 0 0 214
9 75 1 0 0 1 214
10 75 1 0 0 1 213
12 75 1 1 0 0 213
13 75 1 1 0 0 212
11 75 1 0 0 1 212
12 75 1 0 0 1 211
14 75 1 1 0 0 211
15 75 1 1 0 0 210
13 75 1 0 0 1 210
14 75 1 0 0 1 209
16 75 1 1 0 0 209
17 75 1 1 0 0 208
15 75 1 0 0 1 208
16 75 1 0 0 1 207
18 75 1 1 0 0 207
19 75 1 1 0 0 206
17 75 1 0 0 1 206
18 75 1 0 0 1 205
20 75 1 1 0 0 205
21 75 1 1 0 0 204
19 75 1 0 0 1 204
20 75 1 0 0 1 203
22 75 1 1 0 0 203
23 75 1 1 0 0 202
21 75 1 0 0 1 202
22 75 1 0 0 1 201
24 75 1 1 0 0 201
25 75 1 1 0 0 200
23 75 1 0 0 1 200
24 75 1 0 0 1 199
26 75 1 1 0 0 199
27 75 1 1 0 0 198
25 75 1 0 0 1 198
26 75 1 0 0 1 197
28 75 1 1 0 0 197
29 75 1 1 0 0 196
27 75 1 0 0 1 196
28 75 1 0 0 1 195
30 75 1 1 0 0 195
31 75 1 1 0 0 194
29 75 1 0 0 1 194
30 75 1 0 0 1 193
32 75 1 1 0 0 193
33 75 1 1 0 0 192
31 75 1 0 0 1 192
32 75 1 0 0 1 191
34 75 1 1 0 0 191
35 75 1 1 0 0 190
33 75 1 0 0 1 190
34 75 1 0 0 1 189
36 75 1 1 0 0 189
37 75 1 1 0 0 188
35 75 1 0 0 1 188
36 75 1 0 0 1 187
38 75 1 1 0 0 187
39 75 1 1 0 0 186
37 75 1 0 0 1 186
38 75 1 0 0 1 185
40 75 1 1 0 0 185
41 75 1 1 0 0 184
39 75 1 0 0 1 184
40 75 1 0 0 1 183
42 75 1 1 0 0 183
43 75 1 1 0 0 182
41 75 1 0 0 1 182
42 75 1 0 0 1 181
44 75 1 1 0 0 181
45 75 1 1 0 0 180
43 75 1 0 0 1 180
44 75 1 0 0 1 179
46 75 1 1 0 0 179
47 75 1 1 0 0 178
45 75 1 0 0 1 178
46 75 1 0 0 1 177
48 75 1 1 0 0 177
49 75 1 1 0 0 176
47 75 1 0 0 1 176
48 75 1 0 0 1 175
50 75 1 1 0 0 175
51 75 1 1 0 0 174
49 75 1 0 0 1 174
50 75 1 0 0 1 173
52 75 1 1 0 0 173
53 75 1 1 0 0 172
51 75 1 0 0 1 172
52 75 1 0 0 1 171
54 75 1 1 0 0 171
55 75 1 1 0 0 170
53 75 1 0 0 1 170
54 75 1 0 0 1 169
56 75 1 1 0 0 169
57 75 1 1 0 0 168
55 75 1 0 0 1 168
56 75 1 0 0 1 167
58 75 1 1 0 0 167
59 75 1 1 0 0 166
57 75 1 0 0 1 166
58 75 1 0 0 1 165
60 75 1 1 0 0 165
61 75 1 1 0 0 164
59 75 1 0 0 1 164
60 75 1 0 0 1 163
62 75 1 1 0 0 163
63 75 1 1 0 0 162
61 75 1 0 0 1 162
62 75 1 0 0 1 161
64 75 1 1 0 0 161
65 75 1 1 0 0 160
63 75 1 0 0 1 160
64 75 1 0 0 1 159
66 75 1 1 0 0 159
67 75 1 1 0 0 158
65 75 1 0 0 1 158
66 75 1 0 0 1 157
68 75 1 1 0 0 157
69 75 1 1 0 0 156
67 75 1 0 0 1 156
68 75 1 0 0 1 155
70 75 1 1 0 0 155
71 75 1 1 0 0 154
69 75 1 0 0 1 154
70 75 1 0 0 1 153
72 75 1 1 0 0 153
73 75 1 1 0 0 152
71 75 1 0 0 1 152
72 75 1 0 0 1 151
74 75 1 1 0 0 151
75 75 1 1 0 0 150
73 75 1 0 0 1 150
74 75 1 0 0 1 149
76 75 1 1 0 0 149
77 75 1 1 0 0 148
75 75 1 0 0 1 148
75 74 1 0 0 1 149
77 74 1 1 0 0 149
77 73 1 1 0 0 150
75 73 1 0 0 1 150
75 72 1 0 0 1 151
77 72 1 1 0 0 151
77 71 1 1 0 0 152
75 71 1 0 0 1 152
75 70 1 0 0 1 153
77 70 1 1 0 0 153
77 69 1 1 0 0 154
75 69 1 0 0 1 154
75 68 1 0 0 1 155
77 68 1 1 0 0 155
77 67 1 1 0 0 156
75 67 1 0 0 1 156
75 66 1 0 0 1 157
77 66 1 1 0 0 157
77 65 1 1 0 0 158
75 65 1 0 0 1 158
75 64 1 0 0 1 159
77 64 1 1 0 0 159
77 63 1 1 0 0 160
75 63 1 0 0 1 160
75 62 1 0 0 1 161
77 62 1 1 0 0 161
77 61 1 1 0 0 162
75 61 1 0 0 1 162
75 60 1 0 0 1 163
77 60 1 1 0 0 163
77 59 1 1 0 0 164
75 59 1 0 0 1 164
75 58 1 0 0 1 165
77 58 1 1 0 0 165
77 57 1 1 0 0 166
75 57 1 0 0 1 166
75 56 1 0 0 1 167
77 56 1 1 0 0 167
77 55 1 1 0 0 168
75 55 1 0 0 1 168
75 54 1 0 0 1 169
77 54 1 1 0 0 169
77 53 1 1 0 0 170
75 53 1 0 0 1 170
75 52 1 0 0 1 171
77 52 1 1 0 0 171
77 51 1 1 0 0 172
75 51 1 0 0 1 172
75 50 1 0 0 1 173
77 50 1 1 0 0 173
77 49 1 1 0 0 174
75 49 1 0 0 1 174
75 48 1 0 0 1 175
77 48 1 1 0 0 175
77 47 1 1 0 0 176
75 47 1 0 0 1 176
75 46 1 0 0 1 177
77 46 1 1 0 0 177
77 45 1 1 0 0 178
75 45 1 0 0 1 178
75 44 1 0 0 1 179
77 44 1 1 0 0 179
77 43 1 1 0 0 180
75 43 1 0 0 1 180
75 42 1 0 0 1 181
77 42 1 1 0 0 181
77 41 1 1 0 0 182
75 41 1 0 0 1 182
75 40 1 0 0 1 183
77 40 1 1 0 0 183
77 39 1 1 0 0 184
75 39 1 0 0 1 184
75 38 1 0 0 1 185
77 38 1 1 0 0 185
77 37 1 1 0 0 186
75 37 1 0 0 1 186
75 36 1 0 0 1 187
77 36 1 1 0 0 187
77 35 1 1 0 0 188
75 35 1 0 0 1 188
75 34 1 0 0 1 189
77 34 1 1 0 0 189
77 33 1 1 0 0 190
75 33 1 0 0 1 190
75 32 1 0 0 1 191
77 32 1 1 0 0 191
77 31 1 1 0 0 192
75 31 1 0 0 1 192
75 30 1 0 0 1 193
77 30 1 1 0 0 193
77 29 1 1 0 0 194
75 29 1 0 0 1 194
75 28 1 0 0 1 195
77 28 1 1 0 0 195
77 27 1 1 0 0 196
75 27 1 0 0 1 196
75 26 1 0 0 1 197
77 26 1 1 0 0 197
77 25 1 1 0 0 198
75 25 1 0 0 1 198
75 24 1 0 0 1 199
77 24 1 1 0 0 199
77 23 1 1 0 0 200
75 23 1 0 0 1 200
75 22 1 0 0 1 201
77 22 1 1 0 0 201
77 21 1 1 0 0 202
75 21 1 0 0 1 202
75 20 1 0 0 1 203
77 20 1 1 0 0 203
77 19 1 1 0 0 204
75 19 1 0 0 1 204
75 18 1 0 0 1 205
77 18 1 1 0 0 205
77 17 1 1 0 0 206
75 17 1 0 0 1 206
75 16 1 0 0 1 207
77 16 1 1 0 0 207
77 15 1 1 0 0 208
75 15 1 0 0 1 208
75 14 1 0 0 1 209
77 14 1 1 0 0 209
77 13 1 1 0 0 210
75 13 1 0 0 1 210
75 12 1 0 0 1 211
77 12 1 1 0 0 211
77 11 1 1 0 0 212
75 11 1 0 0 1 212
75 10 1 0 0 1 213
77 10 1 1 0 0 213
77 9 1 1 0 0 214
75 9 1 0 0 1 214
75 8 1 0 0 1 215
77 8 1 1 0 0 215
77 7 1 1 0 0 216
75 7 1 0 0 1 216
75 6 1 0 0 1 217
77 6 1 1 0 0 217
77 5 1 1 0 0 218
75 5 1 0 0 1 218
75 4 1 0 0 1 219
77 4 1 1 0 0 219
77 3 1 1 0 0 220
75 3 1 0 0 1 220
75 2 1 0 0 1 221
77 2 1 1 0 0 221
77 0 0 1 1 0 221
75 0 0 0 1 1 221
77 1 0 1 1 0 220
75 1 0 0 1 1 220
77 2 0 1 1 0 219
75 2 0 0 1 1 219
77 3 0 1 1 0 218
75 3 0 0 1 1 218
77 4 0 1 1 0 217
75 4 0 0 1 1 217
77 5 0 1 1 0 216
75 5 0 0 1 1 216
77 6 0 1 1 0 215
75 6 0 0 1 1 215
77 7 0 1 1 0 214
75 7 0 0 1 1 214
77 8 0 1 1 0 213
75 8 0 0 1 1 213
77 9 0 1 1 0 212
75 9 0 0 1 1 212
77 10 0 1 1 0 211
75 10 0 0 1 1 211
77 11 0 1 1 0 210
75 11 0 0 1 1 210
77 12 0 1 1 0 209
75 12 0 0 1 1 209
77 13 0 1 1 0 208
75 13 0 0 1 1 208
77 14 0 1 1 0 207
75 14 0 0 1 1 207
77 15 0 1 1 0 206
75 15 0 0 1 1 206
77 16 0 1 1 0 205
75 16 0 0 1 1 205
77 17 0 1 1 0 204
75 17 0 0 1 1 204
77 18 0 1 1 0 203
75 18 0 0 1 1 203
77 19 0 1 1 0 202
75 19 0 0 1 1 202
77 20 0 1 1 0 201
75 20 0 0 1 1 201
77 21 0 1 1 0 200
75 21 0 0 1 1 200
77 22 0 1 1 0 199
75 22 0 0 1 1 199
77 23 0 1 1 0 198
75 23 0 0 1 1 198
77 24 0 1 1 0 197
75 24 0 0 1 1 197
77 25 0 1 1 0 196
75 25 0 0 1 1 196
77 26 0 1 1 0 195
75 26 0 0 1 1 195
77 27 0 1 1 0 194
75 27 0 0 1 1 194
77 28 0 1 1 0 193
75 28 0 0 1 1 193
77 29 0 1 1 0 192
75 29 0 0 1 1 192
77 30 0 1 1 0 191
75 30 0 0 1 1 191
77 31 0 1 1 0 190
75 31 0 0 1 1 190
77 32 0 1 1 0 189
75 32 0 0 1 1 189
77 33 0 1 1 0 188
75 33 0 0 1 1 188
77 34 0 1 1 0 187
75 34 0 0 1 1 187
77 35 0 1 1 0 186
75 35 0 0 1 1 186
77 36 0 1 1 0 185
75 36 0 0 1 1 185
77 37 0 1 1 0 184
75 37 0 0 1 1 184
77 38 0 1 1 0 183
75 38 0 0 1 1 183
77 39 0 1 1 0 182
75 39 0 0 1 1 182
77 40 0 1 1 0 181
75 40 0 0 1 1 181
77 41 0 1 1 0 180
75 41 0 0 1 1 180
77 42 0 1 1 0 179
75 42 0 0 1 1 179
77 43 0 1 1 0 178
75 43 0 0 1 1 178
77 44 0 1 1 0 177
75 44 0 0 1 1 177
77 45 0 1 1 0 176
75 45 0 0 1 1 176
77 46 0 1 1 0 175
75 46 0 0 1 1 175
77 47 0 1 1 0 174
75 47 0 0 1 1 174
77 48 0 1 1 0 173
75 48 0 0 1 1 173
77 49 0 1 1 0 172
75 49 0 0 1 1 172
77 50 0 1 1 0 171
75 50 0 0 1 1 171
77 51 0 1 1 0 170
75 51 0 0 1 1 170
77 52 0 1 1 0 169
75 52 0 0 1 1 169
77 53 0 1 1 0 168
75 53 0 0 1 1 168
77 54 0 1 1 0 167
75 54 0 0 1 1 167
77 55 0 1 1 0 166
75 55 0 0 1 1 166
77 56 0 1 1 0 165
75 56 0 0 1 1 165
77 57 0 1 1 0 164
75 57 0 0 1 1 164
77 58 0 1 1 0 163
75 58 0 0 1 1 163
77 59 0 1 1 0 162
75 59 0 0 1 1 162
77 60 0 1 1 0 161
75 60 0 0 1 1 161
77 61 0 1 1 0 160
75 61 0 0 1 1 160
77 62 0 1 1 0 159
75 62 0 0 1 1 159
77 63 0 1 1 0 158
75 63 0 0 1 1 158
77 64 0 1 1 0 157
75 64 0 0 1 1 157
77 65 0 1 1 0 156
75 65 0 0 1 1 156
77 66 0 1 1 0 155
75 66 0 0 1 1 155
77 67 0 1 1 0 154
75 67 0 0 1 1 154
77 68 0 1 1 0 153
75 68 0 0 1 1 153
77 69 0 1 1 0 152
75 69 0 0 1 1 152
77 70 0 1 1 0 151
75 70 0 0 1 1 151
77 71 0 1 1 0 150
75 71 0 0 1 1 150
77 72 0 1 1 0 149
75 72 0 0 1 1 149
77 73 0 1 1 0 148
75 73 0 0 1 1 148
77 74 0 1 1 0 147
75 74 0 0 1 1 147
74 74 0 0 1 1 148
76 74 0 1 1 0 148
75 74 0 1 1 0 149
73 74 0 0 1 1 149
72 74 0 0 1 1 150
74 74 0 1 1 0 150
73 74 0 1 1 0 151
71 74 0 0 1 1 151
70 74 0 0 1 1 152
72 74 0 1 1 0 152
71 74 0 1 1 0 153
69 74 0 0 1 1 153
68 74 0 0 1 1 154
70 74 0 1 1 0 154
69 74 0 1 1 0 155
67 74 0 0 1 1 155
66 74 0 0 1 1 156
68 74 0 1 1 0 156
67 74 0 1 1 0 157
65 74 0 0 1 1 157
64 74 0 0 1 1 158
66 74 0 1 1 0 158
65 74 0 1 1 0 159
63 74 0 0 1 1 159
62 74 0 0 1 1 160
64 74 0 1 1 0 160
63 74 0 1 1 0 161
61 74 0 0 1 1 161
60 74 0 0 1 1 162
62 74 0 1 1 0 162
61 74 0 1 1 0 163
59 74 0 0 1 1 163
58 74 0 0 1 1 164
60 74 0 1 1 0 164
59 74 0 1 1 0 165
57 74 0 0 1 1 165
56 74 0 0 1 1 166
58 74 0 1 1 0 166
57 74 0 1 1 0 167
55 74 0 0 1 1 167
54 74 0 0 1 1 168
56 74 0 1 1 0 168
55 74 0 1 1 0 169
53 74 0 0 1 1 169
52 74 0 0 1 1 170
54 74 0 1 1 0 170
53 74 0 1 1 0 171
51 74 0 0 1 1 171
50 74 0 0 1 1 172
52 74 0 1 1 0 172
51 74 0 1 1 0 173
49 74 0 0 1 1 173
48 74 0 0 1 1 174
50 74 0 1 1 0 174
49 74 0 1 1 0 175
47 74 0 0 1 1 175
46 74 0 0 1 1 176
48 74 0 1 1 0 176
47 74 0 1 1 0 177
45 74 0 0 1 1 177
44 74 0 0 1 1 178
46 74 0 1 1 0 178
45 74 0 1 1 0 179
43 74 0 0 1 1 179
42 74 0 0 1 1 180
44 74 0 1 1 0 180
43 74 0 1 1 0 181
41 74 0 0 1 1 181
40 74 0 0 1 1 182
42 74 0 1 1 0 182
41 74 0 1 1 0 183
39 74 0 0 1 1 183
38 74 0 0 1 1 184
40 74 0 1 1 0 184
39 74 0 1 1 0 185
37 74 0 0 1 1 185
36 74 0 0 1 1 186
38 74 0 1 1 0 186
37 74 0 1 1 0 187
35 74 0 0 1 1 187
34 74 0 0 1 1 188
36 74 0 1 1 0 188
35 74 0 1 1 0 189
33 74 0 0 1 1 189
32 74 0 0 1 1 190
34 74 0 1 1 0 190
33 74 0 1 1 0 191
31 74 0 0 1 1 191
30 74 0 0 1 1 192
32 74 0 1 1 0 192
31 74 0 1 1 0 193
29 74 0 0 1 1 193
28 74 0 0 1 1 194
30 74 0 1 1 0 194
29 74 0 1 1 0 195
27 74 0 0 1 1 195
26 74 0 0 1 1 196
28 74 0 1 1 0 196
27 74 0 1 1 0 197
25 74 0 0 1 1 197
24 74 0 0 1 1 198
26 74 0 1 1 0 198
25 74 0 1 1 0 199
23 74 0 0 1 1 199
22 74 0 0 1 1 200
