241 721
141 140 1
140 141 3.5
141 141 -4.5
142 141 1
141 142 3.525
142 142 -4.525
143 142 1
142 143 3.55
143 143 -4.55
144 143 1
143 144 3.575
144 144 -4.575
145 144 1
144 145 3.6
145 145 -4.6
146 145 1
145 146 3.625
146 146 -4.625
147 146 1
146 147 3.65
147 147 -4.65
148 147 1
147 148 3.675
148 148 -4.675
149 148 1
148 149 3.7
149 149 -4.7
150 149 1
149 150 3.725
150 150 -4.725
151 150 1
150 151 3.75
151 151 -4.75
152 151 1
151 152 3.775
152 152 -4.775
153 152 1
152 153 3.8
153 153 -4.8
154 153 1
153 154 3.825
154 154 -4.825
155 154 1
154 155 3.85
155 155 -4.85
156 155 1
155 156 3.875
156 156 -4.875
157 156 1
156 157 3.9
157 157 -4.9
158 157 1
157 158 3.925
158 158 -4.925
159 158 1
158 159 3.95
159 159 -4.95
160 159 1
159 160 3.975
160 160 -4.975
161 160 1
160 161 4
161 161 -5
162 161 1
161 162 4.025
162 162 -5.025
163 162 1
162 163 4.05
163 163 -5.05
164 163 1
163 164 4.075
164 164 -5.075
165 164 1
164 165 4.1
165 165 -5.1
166 165 1
165 166 4.125
166 166 -5.125
167 166 1
166 167 4.15
167 167 -5.15
168 167 1
167 168 4.175
168 168 -5.175
169 168 1
168 169 4.2
169 169 -5.2
170 169 1
169 170 4.225
170 170 -5.225
171 170 1
170 171 4.25
171 171 -5.25
172 171 1
171 172 4.275
172 172 -5.275
173 172 1
172 173 4.3
173 173 -5.3
174 173 1
173 174 4.325
174 174 -5.325
175 174 1
174 175 4.35
175 175 -5.35
176 175 1
175 176 4.375
176 176 -5.375
177 176 1
176 177 4.4
177 177 -5.4
178 177 1
177 178 4.425
178 178 -5.425
179 178 1
178 179 4.45
179 179 -5.45
180 179 1
179 180 4.475
180 180 -5.475
181 180 1
180 181 4.5
181 181 -5.5
182 181 1
181 182 4.525
182 182 -5.525
183 182 1
182 183 4.55
183 183 -5.55
184 183 1
183 184 4.575
184 184 -5.575
185 184 1
184 185 4.6
185 185 -5.6
186 185 1
185 186 4.625
186 186 -5.625
187 186 1
186 187 4.65
187 187 -5.65
188 187 1
187 188 4.675
188 188 -5.675
189 188 1
188 189 4.7
189 189 -5.7
190 189 1
189 190 4.725
190 190 -5.725
191 190 1
190 191 4.75
191 191 -5.75
192 191 1
191 192 4.775
192 192 -5.775
193 192 1
192 193 4.8
193 193 -5.8
194 193 1
193 194 4.825
194 194 -5.825
195 194 1
194 195 4.85
195 195 -5.85
196 195 1
195 196 4.875
196 196 -5.875
197 196 1
196 197 4.9
197 197 -5.9
198 197 1
197 198 4.925
198 198 -5.925
199 198 1
198 199 4.95
199 199 -5.95
200 199 1
199 200 4.975
200 200 -5.975
201 200 1
200 201 5
201 201 -6
202 201 1
201 202 5.025
202 202 -6.025
203 202 1
202 203 5.05
203 203 -6.05
204 203 1
203 204 5.075
204 204 -6.075
205 204 1
204 205 5.1
205 205 -6.1
206 205 1
205 206 5.125
206 206 -6.125
207 206 1
206 207 5.15
207 207 -6.15
208 207 1
207 208 5.175
208 208 -6.175
209 208 1
208 209 5.2
209 209 -6.2
210 209 1
209 210 5.225
210 210 -6.225
211 210 1
210 211 5.25
211 211 -6.25
212 211 1
211 212 5.275
212 212 -6.275
213 212 1
