241 721
72 72 -2.775
73 72 1
72 73 1.8
73 73 -2.8
74 73 1
73 74 1.825
74 74 -2.825
75 74 1
74 75 1.85
75 75 -2.85
76 75 1
75 76 1.875
76 76 -2.875
77 76 1
76 77 1.9
77 77 -2.9
78 77 1
77 78 1.925
78 78 -2.925
79 78 1
78 79 1.95
79 79 -2.95
80 79 1
79 80 1.975
80 80 -2.975
81 80 1
80 81 2
81 81 -3
82 81 1
81 82 2.025
82 82 -3.025
83 82 1
82 83 2.05
83 83 -3.05
84 83 1
83 84 2.075
84 84 -3.075
85 84 1
84 85 2.1
85 85 -3.1
86 85 1
85 86 2.125
86 86 -3.125
87 86 1
86 87 2.15
87 87 -3.15
88 87 1
87 88 2.175
88 88 -3.175
89 88 1
88 89 2.2
89 89 -3.2
90 89 1
89 90 2.225
90 90 -3.225
91 90 1
90 91 2.25
91 91 -3.25
92 91 1
91 92 2.275
92 92 -3.275
93 92 1
92 93 2.3
93 93 -3.3
94 93 1
93 94 2.325
94 94 -3.325
95 94 1
94 95 2.35
95 95 -3.35
96 95 1
95 96 2.375
96 96 -3.375
97 96 1
96 97 2.4
97 97 -3.4
98 97 1
97 98 2.425
98 98 -3.425
99 98 1
98 99 2.45
99 99 -3.45
100 99 1
99 100 2.475
100 100 -3.475
101 100 1
100 101 2.5
101 101 -3.5
102 101 1
101 102 2.525
102 102 -3.525
103 102 1
102 103 2.55
103 103 -3.55
104 103 1
103 104 2.575
104 104 -3.575
105 104 1
104 105 2.6
105 105 -3.6
106 105 1
105 106 2.625
106 106 -3.625
107 106 1
106 107 2.65
107 107 -3.65
108 107 1
107 108 2.675
108 108 -3.675
109 108 1
108 109 2.7
109 109 -3.7
110 109 1
109 110 2.725
110 110 -3.725
111 110 1
110 111 2.75
111 111 -3.75
112 111 1
111 112 2.775
112 112 -3.775
113 112 1
112 113 2.8
113 113 -3.8
114 113 1
113 114 2.825
114 114 -3.825
115 114 1
114 115 2.85
115 115 -3.85
116 115 1
115 116 2.875
116 116 -3.875
117 116 1
116 117 2.9
117 117 -3.9
118 117 1
117 118 2.925
118 118 -3.925
119 118 1
118 119 2.95
119 119 -3.95
120 119 1
119 120 2.975
120 120 -3.975
121 120 1
120 121 3
121 121 -4
122 121 1
121 122 3.025
122 122 -4.025
123 122 1
122 123 3.05
123 123 -4.05
124 123 1
123 124 3.075
124 124 -4.075
125 124 1
124 125 3.1
125 125 -4.1
126 125 1
125 126 3.125
126 126 -4.125
127 126 1
126 127 3.15
127 127 -4.15
128 127 1
127 128 3.175
128 128 -4.175
129 128 1
128 129 3.2
129 129 -4.2
130 129 1
129 130 3.225
130 130 -4.225
131 130 1
130 131 3.25
131 131 -4.25
132 131 1
131 132 3.275
132 132 -4.275
133 132 1
132 133 3.3
133 133 -4.3
134 133 1
133 134 3.325
134 134 -4.325
135 134 1
134 135 3.35
135 135 -4.35
136 135 1
135 136 3.375
136 136 -4.375
137 136 1
136 137 3.4
137 137 -4.4
138 137 1
137 138 3.425
138 138 -4.425
139 138 1
138 139 3.45
139 139 -4.45
140 139 1
139 140 3.475
140 140 -4.475
141 140 1
140 141 3.5
141 141 -4.5
142 141 1
141 142 3.525
142 142 -4.525
143 142 1
142 143 3.55
143 143 -4.55
144 143 1
143 144 3.575
144 144 -4.575
145 144 1
144 145 3.6
145 145 -4.6
146 145 1
145 146 3.625
146 146 -4.625
147 146 1
146 147 3.65
147 147 -4.65
148 147 1
147 148 3.675
148 148 -4.675
149 148 1
148 149 3.7
149 149 -4.7
150 149 1
149 150 3.725
150 150 -4.725
151 150 1
150 151 3.75
151 151 -4.75
152 151 1
151 152 3.775
152 152 -4.775
153 152 1
152 153 3.8
153 153 -4.8
154 153 1
153 154 3.825
154 154 -4.825
155 154 1
154 155 3.85
155 155 -4.85
156 155 1
155 156 3.875
156 156 -4.875
157 156 1
156 157 3.9
157 157 -4.9
158 157 1
157 158 3.925
158 158 -4.925
159 158 1
158 159 3.95
159 159 -4.95
160 159 1
159 160 3.975
160 160 -4.975
161 160 1
160 161 4
161 161 -5
162 161 1
161 162 4.025
162 162 -5.025
163 162 1
162 163 4.05
163 163 -5.05
164 163 1
163 164 4.075
164 164 -5.075
165 164 1
164 165 4.1
165 165 -5.1
166 165 1
165 166 4.125
166 166 -5.125
167 166 1
166 167 4.15
167 167 -5.15
168 167 1
167 168 4.175
168 168 -5.175
169 168 1
168 169 4.2
169 169 -5.2
170 169 1
169 170 4.225
170 170 -5.225
171 170 1
170 171 4.25
171 171 -5.25
172 171 1
171 172 4.275
172 172 -5.275
173 172 1
172 173 4.3
173 173 -5.3
174 173 1
173 174 4.325
174 174 -5.325
175 174 1
174 175 4.35
175 175 -5.35
176 175 1
175 176 4.375
176 176 -5.375
177 176 1
176 177 4.4
177 177 -5.4
178 177 1
177 178 4.425
178 178 -5.425
179 178 1
178 179 4.45
179 179 -5.45
180 179 1
179 180 4.475
180 180 -5.475
181 180 1
180 181 4.5
181 181 -5.5
182 181 1
181 182 4.525
182 182 -5.525
183 182 1
182 183 4.55
183 183 -5.55
184 183 1
183 184 4.575
184 184 -5.575
185 184 1
184 185 4.6
185 185 -5.6
186 185 1
185 186 4.625
186 186 -5.625
187 186 1
186 187 4.65
187 187 -5.65
188 187 1
187 188 4.675
188 188 -5.675
189 188 1
188 189 4.7
189 189 -5.7
190 189 1
189 190 4.725
190 190 -5.725
191 190 1
190 191 4.75
191 191 -5.75
192 191 1
191 192 4.775
192 192 -5.775
193 192 1
192 193 4.8
193 193 -5.8
194 193 1
193 194 4.825
194 194 -5.825
195 194 1
194 195 4.85
195 195 -5.85
196 195 1
195 196 4.875
196 196 -5.875
197 196 1
196 197 4.9
197 197 -5.9
198 197 1
197 198 4.925
198 198 -5.925
199 198 1
198 199 4.95
199 199 -5.95
200 199 1
199 200 4.975
200 200 -5.975
201 200 1
200 201 5
201 201 -6
202 201 1
201 202 5.025
202 202 -6.025
203 202 1
202 203 5.05
203 203 -6.05
204 203 1
203 204 5.075
204 204 -6.075
205 204 1
204 205 5.1
205 205 -6.1
206 205 1
205 206 5.125
206 206 -6.125
207 206 1
206 207 5.15
207 207 -6.15
208 207 1
207 208 5.175
208 208 -6.175
209 208 1
208 209 5.2
209 209 -6.2
210 209 1
209 210 5.225
210 210 -6.225
211 210 1
210 211 5.25
211 211 -6.25
212 211 1
211 212 5.275
212 212 -6.275
213 212 1
212 213 5.3
213 213 -6.3
214 213 1
213 214 5.325
214 214 -6.325
215 214 1
214 215 5.35
215 215 -6.35
216 215 1
215 216 5.375
216 216 -6.375
217 216 1
216 217 5.4
217 217 -6.4
218 217 1
217 218 5.425
218 218 -6.425
219 218 1
218 219 5.45
219 219 -6.45
220 219 1
219 220 5.475
220 220 -6.475
221 220 1
220 221 5.5
221 221 -6.5
222 221 1
221 222 5.525
222 222 -6.525
223 222 1
222 223 5.55
223 223 -6.55
224 223 1
223 224 5.575
224 224 -6.575
225 224 1
224 225 5.6
225 225 -6.6
226 225 1
225 226 5.625
226 226 -6.625
227 226 1
226 227 5.65
227 227 -6.65
228 227 1
227 228 5.675
228 228 -6.675
229 228 1
228 229 5.7
229 229 -6.7
230 229 1
229 230 5.725
230 230 -6.725
231 230 1
230 231 5.75
231 231 -6.75
232 231 1
231 232 5.775
232 232 -6.775
233 232 1
232 233 5.8
233 233 -6.8
234 233 1
233 234 5.825
234 234 -6.825
235 234 1
234 235 5.85
235 235 -6.85
236 235 1
235 236 5.875
236 236 -6.875
237 236 1
236 237 5.9
237 237 -6.9
238 237 1
237 238 5.925
238 238 -6.925
239 238 1
238 239 5.95
239 239 -6.95
240 239 1
239 240 5.975
240 240 -6.975
241 240 1
240 241 6
241 241 -6
